logP,BP,MW,1DmMW,1Dx,1Dy,1Dz,1Du,1Ds,L1D,1DRatio,Flow,GV1DT1,GV1DT2,GV1DT3,GV1DT4,GV1DT5,GV1DRT,dV1D2,dV1D3,dV1D4
"3,6",340,"278,34","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"4,4","373,9","222,37","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"3,4","301,5","222,37","204,4",30,72,62,96,65,30,250,"1,3","0,000203628379929","0,000203628379929","0,000278754259114","0,00029039199736","0,00029039199736","0,000249130202807","1,61457984729609E-06","3,75488211429873E-05",0
"2,84","171,19","128,1705","80,2",19,74,64,93,62,30,250,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858","6,85094550988955E-06","3,67627864766041E-06","5,55677043812351E-06"
"1,4","339,44","152,047344","80,2",19,74,64,93,62,30,250,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858","6,85094550988955E-06","3,67627864766041E-06","5,55677043812351E-06"
"2,3","231,2","135,1863","80,2",19,74,64,93,62,30,250,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858","6,85094550988955E-06","3,67627864766041E-06","5,55677043812351E-06"
"2,26",437,"164,2","80,2",19,74,64,93,62,30,250,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858","6,85094550988955E-06","3,67627864766041E-06","5,55677043812351E-06"
"2,96","264,73","188,01","80,2",19,74,64,93,62,30,250,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858","6,85094550988955E-06","3,67627864766041E-06","5,55677043812351E-06"
"2,78","297,23","205,03","80,2",19,74,64,93,62,30,250,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858","6,85094550988955E-06","3,67627864766041E-06","5,55677043812351E-06"
"1,26",283,"194,184","80,2",19,74,64,93,62,30,250,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858","6,85094550988955E-06","3,67627864766041E-06","5,55677043812351E-06"
"3,32","280,2","154,21","80,2",19,74,64,93,62,30,250,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858","6,85094550988955E-06","3,67627864766041E-06","5,55677043812351E-06"
"1,6","258,3","240,22","80,2",19,74,64,93,62,30,250,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858","6,85094550988955E-06","3,67627864766041E-06","5,55677043812351E-06"
"2,94","279,2","154,2","80,2",19,74,64,93,62,30,250,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858","6,85094550988955E-06","3,67627864766041E-06","5,55677043812351E-06"
"0,96","359,2","119,12","80,2",19,74,64,93,62,30,250,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858","6,85094550988955E-06","3,67627864766041E-06","5,55677043812351E-06"
"2,67","342,65","214,64","80,2",19,74,64,93,62,30,250,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858","6,85094550988955E-06","3,67627864766041E-06","5,55677043812351E-06"
"3,74","345,76","206,32","80,2",19,74,64,93,62,30,250,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858","6,85094550988955E-06","3,67627864766041E-06","5,55677043812351E-06"
"4,3","265,2","220,35","80,2",19,74,64,93,62,30,250,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858","6,85094550988955E-06","3,67627864766041E-06","5,55677043812351E-06"
"2,72","365,28","171,217","80,2",19,74,64,93,62,30,250,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858","6,85094550988955E-06","3,67627864766041E-06","5,55677043812351E-06"
"2,79","347,51","223,053","80,2",19,74,64,93,62,30,250,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858","6,85094550988955E-06","3,67627864766041E-06","5,55677043812351E-06"
"4,95","277,2","250,3","80,2",19,74,64,93,62,30,250,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858","6,85094550988955E-06","3,67627864766041E-06","5,55677043812351E-06"
"3,16","353,79","220,31","80,2",19,74,64,93,62,30,250,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858","6,85094550988955E-06","3,67627864766041E-06","5,55677043812351E-06"
"2,2",327,"214,65","80,2",19,74,64,93,62,30,250,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858","6,85094550988955E-06","3,67627864766041E-06","5,55677043812351E-06"
"3,26","296,2","166,223","80,2",19,74,64,93,62,30,250,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858","6,85094550988955E-06","3,67627864766041E-06","5,55677043812351E-06"
"2,04",302,"222,24","80,2",19,74,64,93,62,30,250,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858","6,85094550988955E-06","3,67627864766041E-06","5,55677043812351E-06"
"4,11","175,2","206,32","80,2",19,74,64,93,62,30,250,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858","6,85094550988955E-06","3,67627864766041E-06","5,55677043812351E-06"
