t2D,logP,BP,MW,2DmMW,2Dx,2Dy,2Dz,2Du,2Ds,PM,L2D,Flow,GV2DT1,GV2DT2,GV2DT3,GV2DT4,GV2DT5,GV2DRT,A2D2,A2D3,A2D4
"3,02","2,9",289,"266,32",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,59","2,55","342,53","235,06",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,18","2,73","378,56","226,156895",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,01","4,41","414,6","244,182715",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,44","5,61","324,7","284,8",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,52","2,99",359,"225,29",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,97","2,18","365,8","201,657",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,74","1,78","368,5","215,093773",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,51","2,93","373,1","229,71",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,88","1,78",330,"283,953879",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,28","3,59","407,38","283,536",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,6","2,17","373,1","229,71",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,99","2,36","374,74","204,969734",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,67","3,94","323,7","246,3",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,46","3,2","384,94","269,509",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,2","3,58","353,9","304,346",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,91","3,99","340,1","178,23",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,89","3,99","340,1","178,23",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,74","1,59",360,"135,1863",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,1","4,53","415,7","258,198365",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,18","3,31","319,85","278,35",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,02","4,79",144,"258,198365",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,26","3,6","246,5","235,06",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,55","3,94","347,3","320,894984",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
"3,7","2,49",334,"263,001731",136,125,175,183,268,220,5,2,"1,2","0,000217384871175","0,000217384871175","0,000245944573658","0,000280719105405","0,000319650249216","0,000271797843858",10,5,7
